priority_rank,priority_tier,spatial_unit_id,location_name,location_type,police_station_mode,unit_latitude,unit_longitude,final_priority_score,score_ml,score_recent30,score_priority,daily_impact_signal_roll_sum_7d,daily_impact_signal_roll_sum_30d,recent_persistence_30d,high_obstruction_share_30d,hist_total_events,hist_confidence_score,recommended_action,recommended_time_window,priority_reason
35,High,"junction_BTP182 - 19th Main Junction, Rajajinagar","BTP182 - 19th Main Junction, Rajajinagar",Named junction,Malleshwaram,12.99937915,77.5507164,0.9747441520467837,66.96644123380189,323.81943750000005,211.18364505802236,83.973875,323.81943750000005,0.7666666666666667,0.00411522633744856,1076.0,0.8145493261380732,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
36,High,h3_89618925453ffff,h3_89618925453ffff,H3/grid hotspot cell,HAL Old Airport,12.9303772,77.6853892,0.973830409356725,54.563657606154145,683.1355,461.3894340383105,98.79400000000001,683.1355,0.6333333333333333,0.6197718631178707,923.0,0.7639917332667352,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
37,High,junction_BTP008 - Navarang Theatre,BTP008 - Navarang Theatre,Named junction,Malleshwaram,12.9983506,77.5529409,0.9735745614035087,63.65543043790214,316.05318750000004,198.05219477855536,76.20012500000001,316.05318750000004,0.7666666666666667,0.0,915.0,0.7879666095247788,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
38,High,"junction_BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road","BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",Named junction,Rajajinagar,12.9931246,77.5538718,0.9730263157894736,60.054106494843154,362.39062500000006,205.83436686803603,69.31937500000001,362.39062500000006,0.7,0.0,888.0,0.7739958834732286,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
39,High,junction_BTP135 - UCO Bank Junction,BTP135 - UCO Bank Junction,Named junction,Adugodi,12.93583725,77.61553315,0.9717836257309941,54.33773308837009,466.690875,257.02502826926195,35.718749999999986,466.690875,0.9,0.13496932515337423,959.0,0.7801621981244938,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
40,High,junction_BTP063 - Siddalingaiah Circle,BTP063 - Siddalingaiah Circle,Named junction,Cubbon Park,12.9714064,77.59768625000001,0.9714181286549708,57.752763001549226,283.6135625,212.40284363315473,110.6146875,283.6135625,0.6,0.12442396313364056,897.0,0.7973083905191746,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
41,High,"junction_BTP024 - NPS, Vijayanagar","BTP024 - NPS, Vijayanagar",Named junction,Magadi Road,12.9829874,77.5488358,0.9709064327485379,55.00082926671239,360.784,230.57916097100403,132.51,360.784,0.5333333333333333,0.02197802197802198,498.0,0.6954098317101833,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
42,High,junction_BTP096 - Gali Anjaneya Temple,BTP096 - Gali Anjaneya Temple,Named junction,Byatarayanapura,12.9525034,77.5412338,0.9703947368421051,54.98715167975048,363.81068750000003,221.8289185464686,46.788375,363.81068750000003,0.7666666666666667,0.2956989247311828,754.0,0.7712404322227501,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
43,High,junction_BTP074 - Leprosy Hospital Junction,BTP074 - Leprosy Hospital Junction,Named junction,Magadi Road,12.97571095,77.5611964,0.9698099415204677,57.65301075078678,266.085125,194.14997125796793,97.65500000000002,266.085125,0.7666666666666667,0.004016064257028112,777.0,0.7888014968411425,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
44,High,h3_8960145b073ffff,h3_8960145b073ffff,H3/grid hotspot cell,Malleshwaram,12.9994034,77.5713444,0.9687499999999999,56.308364515268785,249.57105,183.5756525453371,74.12270000000001,249.57105,0.9333333333333333,0.0,1029.0,0.8470532911658928,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
45,High,junction_BTP032 - Windsor Circle,BTP032 - Windsor Circle,Named junction,High ground,12.9931136,77.5885762,0.9684576023391812,55.99701228710456,292.5784375,158.14292468639948,40.68125,292.5784375,0.6333333333333333,0.04424778761061947,2250.0,0.8240297406610685,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
46,High,h3_8961892e3b7ffff,h3_8961892e3b7ffff,H3/grid hotspot cell,Banaswadi,12.99656811,77.669202595,0.9682383040935673,45.56467373584099,326.80965000000003,237.58797444122422,44.367000000000004,326.80965000000003,0.7666666666666667,0.7478991596638656,482.0,0.745610312067164,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
47,High,junction_BTP069 - MC Circle,BTP069 - MC Circle,Named junction,Vijayanagara,12.9744734,77.5474352,0.9678362573099415,43.688325129349664,425.5485625,196.94943700899196,24.84625,425.5485625,0.6333333333333333,0.0798611111111111,724.0,0.7425224194792868,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
48,High,"junction_BTP026 - 1st Block Junction, Rajajinagar","BTP026 - 1st Block Junction, Rajajinagar",Named junction,Malleshwaram,13.002369,77.5501894,0.9635964912280701,53.536216593582495,236.31625000000003,130.5585309637541,54.156249999999986,236.31625000000003,0.5,0.0,933.0,0.771602607379696,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
49,High,h3_8961892c9d7ffff,h3_8961892c9d7ffff,H3/grid hotspot cell,Hebbala,13.0353897,77.58907,0.9616228070175438,40.095812337682986,293.8968,163.80594740399573,32.066500000000005,293.8968,0.8666666666666667,0.005813953488372093,1556.0,0.8422864783954858,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
50,High,junction_BTP054 - Shivananda Circle,BTP054 - Shivananda Circle,Named junction,High ground,12.9870385,77.5784328,0.9612938596491227,42.89627346677766,185.71500000000003,145.5502112872981,76.83500000000002,185.71500000000003,0.7333333333333333,0.0782608695652174,636.0,0.7833132687965558,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
51,High,junction_BTP010 - Rajajinagar Entrance,BTP010 - Rajajinagar Entrance,Named junction,Magadi Road,12.9822884,77.5599716,0.9612207602339181,42.75781175079252,213.0741875,143.48300843088467,47.65312500000001,213.0741875,0.9,0.07792207792207792,779.0,0.8046912952238447,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
52,High,h3_8961892092bffff,h3_8961892092bffff,H3/grid hotspot cell,HAL Old Airport,12.9360562,77.6920138,0.9601608187134503,39.99912118530833,273.78130000000004,164.873108131543,66.94955000000009,273.78130000000004,0.5333333333333333,0.13793103448275862,943.0,0.7477363218973714,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
53,High,junction_BTP205 - Modi Hospital Junction,BTP205 - Modi Hospital Junction,Named junction,Vijayanagara,12.9974617,77.5476421,0.9598684210526315,42.48704009519305,197.1209375,135.5279418872495,50.659375000000004,197.1209375,0.8333333333333334,0.1,811.0,0.7878806384531907,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
54,High,junction_BTP137 - Madiwala Traffic PS Junction,BTP137 - Madiwala Traffic PS Junction,Named junction,Madiwala,12.9242101,77.61948,0.9596856725146199,41.31494508868256,221.656375,135.51525467005246,50.02000000000001,221.656375,0.7333333333333333,0.09090909090909091,448.0,0.7230257899768034,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
55,High,h3_8960145b373ffff,h3_8960145b373ffff,H3/grid hotspot cell,Malleshwaram,13.0128693,77.5545301,0.9594298245614035,39.37555948725982,259.66905,167.35232012958735,43.75744999999999,259.66905,0.9,0.15458937198067632,673.0,0.7956524182377978,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
56,High,h3_8961892e98fffff,h3_8961892e98fffff,H3/grid hotspot cell,Shivajinagar,12.9802491,77.6136931,0.9589181286549707,40.03109647899463,230.8477,146.41789811756524,76.49695000000001,230.8477,0.5333333333333333,0.0,823.0,0.7712738596667638,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
57,High,"junction_BTP016 - 5th Main Road, RPC Layout","BTP016 - 5th Main Road, RPC Layout",Named junction,Vijayanagara,12.96496,77.538645,0.9587353801169589,42.598905842839926,217.54925000000003,98.29436675301616,18.69062500000003,217.54925000000003,0.43333333333333335,0.018292682926829267,1842.0,0.8134923260634538,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
58,High,"junction_BTP186 - 9th Cross, 4th Main, Jayanagar","BTP186 - 9th Cross, 4th Main, Jayanagar",Named junction,Wilson Garden,12.939394,77.5839763,0.9572002923976608,35.93044622991413,235.8310625,204.00031417469143,186.59449999999998,235.8310625,0.4666666666666667,0.0,404.0,0.622998123191312,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
59,High,h3_89618926397ffff,h3_89618926397ffff,H3/grid hotspot cell,Electronic City,12.8418307,77.64627784999999,0.9572002923976607,40.6550699717576,182.18560000000002,107.6237916558328,54.05635000000001,182.18560000000002,0.5,0.0,893.0,0.7411051834666706,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
60,High,junction_BTP130 - GD Mara Junction,BTP130 - GD Mara Junction,Named junction,Mico Layout,12.9083513,77.6006149,0.9562865497076023,36.433335676244425,264.453125,145.39130692104672,49.321875,264.453125,0.8,0.006557377049180328,504.0,0.6612641371692086,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
61,High,"junction_BTP123 - 10th Cross, Wilson Garden","BTP123 - 10th Cross, Wilson Garden",Named junction,Wilson Garden,12.9451933,77.5952508,0.9558479532163742,37.56437143106396,173.68312500000002,153.68874960216746,107.09437500000001,173.68312500000002,0.7333333333333333,0.0,437.0,0.7247669531129031,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
62,High,junction_BTP208 - Havanur Circle,BTP208 - Havanur Circle,Named junction,Vijayanagara,12.98795305,77.5375166,0.954203216374269,32.047678509921425,289.81937500000004,147.321646854881,23.58124999999999,289.81937500000004,0.6,0.23857868020304568,652.0,0.7342019414719037,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
63,High,junction_BTP061 - Bhashyam Circle,BTP061 - Bhashyam Circle,Named junction,Rajajinagar,12.985270499999999,77.55380175,0.9539108187134502,37.04173361124765,171.2709375,117.81941863105068,52.51031249999998,171.2709375,0.8,0.0,781.0,0.789112044745116,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
64,High,h3_8961892e55bffff,h3_8961892e55bffff,H3/grid hotspot cell,Mahadevapura,12.9790799,77.6951122,0.953654970760234,26.079248317137626,430.426,265.0597224709012,44.785,430.426,0.6,0.6893939393939394,410.0,0.6869976089672905,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
65,High,h3_89618920927ffff,h3_89618920927ffff,H3/grid hotspot cell,HAL Old Airport,12.932568114999999,77.6883193,0.9516812865497075,28.676605044032563,312.8695,155.64337782088495,28.432000000000002,312.8695,0.5,0.2631578947368421,763.0,0.7195162094958768,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
66,High,"junction_BTP170 - Dr. Bheem Rao Palace, Chord Road","BTP170 - Dr. Bheem Rao Palace, Chord Road",Named junction,Rajajinagar,12.989990800000001,77.55069495000001,0.9514985380116958,29.495121815765458,223.113,165.0753631029895,79.04499999999999,223.113,0.5333333333333333,0.36082474226804123,459.0,0.7054973144529555,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
67,High,h3_89618924053ffff,h3_89618924053ffff,H3/grid hotspot cell,Hulimavu,12.8930983,77.63717,0.9511330409356725,32.987143917906046,177.296,103.93888967362363,37.480000000000004,177.296,0.7666666666666667,0.021897810218978103,430.0,0.7201244575770192,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
68,High,h3_89618926387ffff,h3_89618926387ffff,H3/grid hotspot cell,Electronic City,12.84189485,77.64445455,0.9506213450292398,31.196011412787563,198.301,113.9454989804411,34.9375,198.301,0.8,0.0,686.0,0.7671364079713967,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
69,High,h3_8960145b017ffff,h3_8960145b017ffff,H3/grid hotspot cell,Sheshadripuram,12.9900583,77.5728986,0.9501096491228069,31.1713640769418,187.65975000000003,123.48712009269842,56.06975,187.65975000000003,0.7666666666666667,0.019230769230769232,562.0,0.7315357835203695,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
70,High,h3_8961892cb7bffff,h3_8961892cb7bffff,H3/grid hotspot cell,Kodigehalli,13.0704003,77.5875983,0.9498538011695905,32.73679403450824,181.74475,94.90269841920923,17.795,181.74475,0.8333333333333334,0.0,1093.0,0.7821879693084215,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
71,High,junction_BTP192 - Urvashi Theater,BTP192 - Urvashi Theater,Named junction,City Market,12.9556884,77.5860454,0.949671052631579,35.25289881822325,153.155625,99.80908835907944,35.874375,153.155625,0.9,0.0,537.0,0.7896863571062082,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
72,High,h3_89618920b0fffff,h3_89618920b0fffff,H3/grid hotspot cell,HAL Old Airport,12.9575537,77.7010132,0.9489035087719297,36.46218925315215,130.68725,90.36218811850406,32.20499999999999,130.68725,0.7666666666666667,0.14953271028037382,891.0,0.8231428697035011,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
73,High,h3_896189242afffff,h3_896189242afffff,H3/grid hotspot cell,HSR Layout,12.9064783,77.6293739,0.9487938596491227,32.28387328965905,158.54475000000002,102.18227562848612,31.917500000000004,158.54475000000002,0.6666666666666666,0.3364485981308411,506.0,0.7209750825768401,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
74,High,h3_8961892541bffff,h3_8961892541bffff,H3/grid hotspot cell,Bellandur,12.9274467,77.6803618,0.948720760233918,30.104460732327823,173.73525,121.20716968886863,75.952,173.73525,0.5666666666666667,0.01639344262295082,630.0,0.7005366927643717,Scheduled enforcement patrol,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
